vegetation CLASS,GRASS COVER %,RANGE_TYPE,,,,,
13,0,,,,,,
15,50,Aristida grassland,,,,,
18,60,Eragrostis Themeda    grassland,,,,,
20,0,,,,,,
22,35,Eragrostis     grassland,,,,,
23,0,,,,,,
25,65,Themeda Kyllinga  grassland,,,,,
26,0,,,,,,
28,0,,,,,,
29,0,,,,,,
31,0,,,,,,
33,0,,,,,,
34,0,,,,,,
35,70,Themeda Barleria   grassland,,,,,
39,15,Tarchonanthus shrubland,,,,,
40,0,,,,,,
41,0,,,,,,
42,0,,,,,,
46,0,,,,,,
47,0,,,,,,
48,90,Themeda Setaria Sporobulus  grassland,,,,,
49,0,,,,,,
51,0,,,,,,
52,55,Bothriochloa  grassland,,,,,
53,0,,,,,,
57,0,,,,,,
58,0,,,,,,
60,0,WATER,,,,,
61,0,,,,,,
62,40,Bothriochloa  grassland,,,,,
63,0,,,,,,
64,20,Ficus Euclea forest,,,,,
65,0,,,,,,
68,0,,,,,,
